ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
27,Minnesota,MN,27001,Aitkin County,27001770100,Census Tract 7701; Aitkin County; Minnesota,458.19497123153,2428,140,2488,75,1045,67,499,90,80,39,240,43,180,45,125,44,812,71,315,47,410,56,16,9,0,36,196,202,0,12,282,46,12,12,15,7,3,2,20.6,3.5,7.7,3.6,23.0,3.8,9.3,2.3,5.2,1.8,33.4,2.1,13.0,1.8,16.9,2.1,1.6,0.9,0.0,1.5,8.1,8.3,0.0,0.5,11.3,1.8,1.1,1.1,1.4,0.7,0.1,0.1,0.7301,0.8931,0.6052,0.7979,0.6399,3.6662,0.8403,0.9753,0.0781,0.8671,0.1276,0.0,2.0481,0.2592,0.2422,0.2422,0.2422,0.0,0.9238,0.4629,0.183,0.1768,1.7465,0.2625,7.703,0.495,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,874,157,32,5,5,16,18,3,4,32,22,0,9,75,26,65,40,15.0,3.0,0.2,0.2,0.7,0.7,0.1,0.2,1.3,0.9,0.0,0.8,3.1,1.1,2.7,1.6
27,Minnesota,MN,27001,Aitkin County,27001770200,Census Tract 7702; Aitkin County; Minnesota,461.800336881046,2177,150,1932,92,970,59,429,96,67,29,248,50,141,31,148,51,670,75,353,71,523,85,38,21,0,36,164,215,53,21,226,53,13,13,30,19,9,4,19.9,4.2,7.8,3.0,25.6,4.9,8.3,1.9,6.8,2.3,30.8,3.3,16.2,2.7,24.0,3.4,3.9,2.2,0.0,1.7,7.5,9.9,2.8,1.1,11.7,2.8,1.3,1.3,3.1,1.9,0.4,0.2,0.7121,0.8965,0.6927,0.7425,0.7842,3.828,0.8637,0.9593,0.1448,0.9846,0.4422,0.0,2.5309,0.5531,0.2215,0.2215,0.2215,0.3133,0.9299,0.5084,0.3834,0.3843,2.5193,0.5451,9.0997,0.7007,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,1324,202,55,2,5,13,12,0,9,43,24,1,2,105,34,0,9,20.8,5.5,0.1,0.2,0.6,0.6,0.0,0.9,2.0,1.1,0.0,0.1,4.8,1.6,0.0,0.9
27,Minnesota,MN,27001,Aitkin County,27001770300,Census Tract 7703; Aitkin County; Minnesota,33.717808507418,3307,215,1639,80,1283,80,830,155,69,36,357,69,178,72,77,30,989,90,778,110,696,137,113,49,6,34,162,314,261,76,130,42,7,12,169,56,224,7,26.6,4.6,5.2,2.6,27.8,5.1,7.5,2.9,2.5,0.9,29.9,2.7,23.5,2.5,22.2,4.0,8.8,3.8,0.2,1.1,4.9,9.5,15.9,4.6,7.9,2.6,0.5,0.9,13.2,4.2,6.8,0.5,0.8537,0.7335,0.7568,0.6891,0.2712,3.3043,0.7515,0.954,0.5664,0.9746,0.853,0.2882,3.6362,0.9619,0.0867,0.0867,0.0867,0.6633,0.8644,0.2986,0.8597,0.9333,3.6193,0.9379,10.6465,0.8771,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,3,5483,245,58,13,12,26,17,0,9,50,33,0,9,58,28,15,21,19.1,4.3,0.4,0.4,0.8,0.5,0.0,0.6,1.5,1.0,0.0,0.6,1.8,0.8,0.5,0.6
27,Minnesota,MN,27001,Aitkin County,27001770401,Census Tract 7704.01; Aitkin County; Minnesota,94.234650269848,1451,151,1785,85,620,61,274,76,40,25,139,32,87,34,80,38,500,65,203,32,223,47,13,10,1,34,151,210,9,16,194,52,19,18,36,20,0,9,18.9,4.9,6.6,3.8,22.4,4.7,7.5,2.6,5.5,2.6,34.5,3.6,14.0,2.1,15.4,2.7,2.1,1.6,0.1,2.4,10.4,14.4,0.5,0.9,10.9,2.9,3.1,2.9,5.8,3.1,0.0,0.6,0.686,0.8504,0.5765,0.6891,0.6707,3.4727,0.7956,0.98,0.0947,0.8029,0.1884,0.2221,2.2881,0.4021,0.3556,0.3556,0.3556,0.173,0.9172,0.7649,0.6132,0.0,2.4683,0.5217,8.5847,0.6299,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,872,94,32,11,13,62,38,0,9,39,36,0,9,39,24,0,9,15.2,4.7,0.8,0.9,4.3,2.6,0.0,1.4,2.7,2.5,0.0,1.4,2.7,1.6,0.0,1.4
27,Minnesota,MN,27001,Aitkin County,27001770402,Census Tract 7704.02; Aitkin County; Minnesota,365.881578027252,1648,168,1239,63,647,61,403,89,77,28,176,37,107,34,136,43,493,71,350,65,358,62,35,13,4,34,250,234,42,15,221,35,19,12,37,16,0,9,24.6,4.8,11.6,3.6,27.2,5.1,8.9,2.7,8.3,2.4,29.9,3.4,21.2,2.9,21.7,3.0,5.4,1.9,0.3,2.2,15.2,14.1,3.4,1.2,17.8,2.8,2.9,1.8,5.7,2.4,0.0,0.5,0.8223,0.976,0.7395,0.7705,0.8697,4.178,0.9279,0.954,0.3742,0.9693,0.6253,0.3536,3.2764,0.8838,0.4803,0.4803,0.4803,0.3413,0.976,0.7455,0.6072,0.0,2.67,0.6212,10.6047,0.8731,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,1723,148,33,25,16,29,15,13,15,112,43,0,9,68,36,3,3,22.9,5.1,1.5,1.0,1.8,0.9,0.8,0.9,6.8,2.6,0.0,1.2,4.1,2.1,0.2,0.2
27,Minnesota,MN,27001,Aitkin County,27001790501,Census Tract 7905.01; Aitkin County; Minnesota,294.2642802126,1846,142,2036,75,882,77,333,69,22,10,215,50,111,26,154,57,667,63,213,46,443,71,9,6,0,36,75,198,0,12,301,65,1,9,33,15,0,9,18.0,3.5,2.8,1.4,24.4,5.3,7.1,1.6,8.3,2.9,36.1,2.7,11.5,2.0,24.0,3.5,1.0,0.7,0.0,2.0,4.1,10.7,0.0,0.6,14.8,2.9,0.1,1.0,3.7,1.7,0.0,0.5,0.6573,0.3734,0.658,0.6598,0.8697,3.2182,0.7208,0.9867,0.056,0.9846,0.0741,0.0,2.1014,0.2832,0.058,0.058,0.058,0.0,0.9619,0.2211,0.4462,0.0,1.6292,0.2331,7.0068,0.3881,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,723,214,55,5,6,5,5,3,5,12,11,1,3,49,28,0,9,24.3,5.2,0.3,0.3,0.3,0.3,0.2,0.3,0.7,0.6,0.1,0.1,2.7,1.5,0.0,1.1
27,Minnesota,MN,27001,Aitkin County,27001790503,Census Tract 7905.03; Aitkin County; Minnesota,43.077191258818,1546,141,1869,94,728,74,243,68,5,6,190,52,80,28,81,41,657,81,142,29,310,72,24,18,0,36,80,192,0,12,165,51,2,9,16,9,7,5,15.7,4.2,0.8,1.1,26.1,6.6,6.2,2.1,5.2,2.5,42.5,4.5,9.2,1.7,20.1,4.0,3.3,2.4,0.0,2.4,5.2,12.4,0.0,0.6,8.8,2.7,0.3,1.2,2.2,1.2,0.5,0.3,0.5738,0.0508,0.7061,0.5871,0.6399,2.5577,0.5418,0.998,0.0374,0.9452,0.3607,0.0,2.3413,0.4402,0.0981,0.0981,0.0981,0.0,0.8804,0.2485,0.2919,0.433,1.8538,0.2946,6.8509,0.3641,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,544,94,40,1,3,70,34,0,9,0,9,3,5,1,3,5,7,12.9,5.1,0.1,0.2,4.5,2.1,0.0,1.3,0.0,1.3,0.2,0.3,0.1,0.2,0.3,0.4
27,Minnesota,MN,27001,Aitkin County,27001790504,Census Tract 7905.04; Aitkin County; Minnesota,70.197260218688,1456,113,1209,70,622,54,267,70,19,14,147,44,35,16,79,40,542,56,229,42,274,55,5,10,0,36,38,159,27,21,94,29,3,9,16,8,8,6,18.4,4.6,3.1,2.4,23.6,6.8,3.0,1.3,5.4,2.7,37.2,4.0,15.7,2.3,18.9,3.4,0.8,1.6,0.0,2.6,2.6,10.9,2.2,1.7,7.8,2.4,0.5,1.4,2.6,1.3,0.5,0.4,0.67,0.4322,0.6299,0.2488,0.6627,2.6436,0.5638,0.9907,0.1334,0.9152,0.0615,0.0,2.1008,0.2826,0.0153,0.0153,0.0153,0.2766,0.8624,0.2986,0.338,0.433,2.2086,0.4342,6.9683,0.3794,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,470,82,27,6,3,8,8,5,6,3,3,0,9,8,6,8,9,13.2,4.1,0.4,0.2,0.5,0.5,0.3,0.4,0.2,0.2,0.0,1.4,0.5,0.4,0.5,0.6
27,Minnesota,MN,27003,Anoka County,27003050107,Census Tract 501.07; Anoka County; Minnesota,13.617654604956,2931,209,1004,63,1004,63,429,224,26,25,171,77,168,89,234,147,342,118,829,139,360,168,27,29,0,36,155,321,0,12,286,81,44,41,45,39,0,9,15.0,7.7,1.7,1.7,17.0,7.6,9.0,4.6,8.0,4.9,11.7,4.1,28.3,3.6,12.3,5.6,2.7,2.9,0.0,1.3,5.3,10.9,0.0,1.2,28.5,7.5,4.4,4.1,4.5,3.8,0.0,0.3,0.5484,0.1603,0.3226,0.7779,0.8591,2.6683,0.5745,0.2061,0.8606,0.5985,0.2632,0.0,1.9284,0.2064,0.1021,0.1021,0.1021,0.0,0.996,0.8444,0.509,0.0,2.3494,0.4743,7.0482,0.3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1837,127,66,8,13,27,38,17,19,0,9,0,9,103,82,0,9,12.6,6.4,0.3,0.4,0.9,1.3,0.6,0.6,0.0,0.7,0.0,0.7,3.5,2.9,0.0,0.7
27,Minnesota,MN,27003,Anoka County,27003050108,Census Tract 501.08; Anoka County; Minnesota,10.361924393744,5737,238,1979,93,1958,86,392,173,109,72,287,95,259,110,237,70,566,105,1597,187,556,116,86,55,56,62,665,416,88,47,5,7,48,33,88,69,0,13,6.8,3.0,3.4,2.2,14.7,4.8,7.1,3.0,4.1,1.2,9.9,1.8,27.8,2.8,9.7,2.0,4.4,2.8,1.1,1.2,11.6,7.2,4.5,2.4,0.3,0.4,2.5,1.7,4.5,3.5,0.0,0.2,0.1957,0.4896,0.2044,0.6598,0.503,2.0525,0.3687,0.1448,0.8406,0.3487,0.5063,0.6024,2.4428,0.4957,0.3909,0.3909,0.3909,0.3874,0.4783,0.6981,0.509,0.0,2.0728,0.3788,6.959,0.3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5364,101,71,97,94,240,227,18,16,2,3,0,13,279,150,29,42,5.2,3.6,1.7,1.7,4.2,3.9,0.3,0.3,0.0,0.1,0.0,0.3,4.9,2.6,0.5,0.7
27,Minnesota,MN,27003,Anoka County,27003050109,Census Tract 501.09; Anoka County; Minnesota,25.311039776538,5673,490,2128,228,2030,235,229,124,78,55,114,61,200,97,104,80,545,181,1147,359,419,149,38,40,42,82,377,768,0,18,166,61,23,38,56,44,22,3,4.1,2.2,2.1,1.5,5.6,2.9,5.1,2.6,1.8,1.4,9.6,3.3,20.2,5.4,7.4,2.8,1.8,2.0,0.8,1.5,6.6,13.5,0.0,0.8,7.8,2.9,1.1,1.9,2.8,2.2,0.4,0.0,0.0848,0.2438,0.0114,0.4783,0.1617,0.98,0.0955,0.1354,0.3082,0.1576,0.151,0.5364,1.2886,0.0394,0.1748,0.1748,0.1748,0.0,0.8624,0.4629,0.3587,0.3843,2.0683,0.3774,4.5117,0.0955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,143,85,19,26,273,229,21,21,8,12,0,13,56,39,0,13,7.0,4.2,0.3,0.5,4.8,4.2,0.4,0.4,0.1,0.2,0.0,0.4,1.0,0.7,0.0,0.4
