FIPS,SVI,E_TOTPOP,narcan_site_count,narcan_per_1000,narcan_per_1000_log,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
27085950700,0.8811,5839.0,0.0,0.0,0.0,0.6493,0.9506,0.571,0.9412
27017070200,0.7862,4372.0,0.0,0.0,0.0,0.8283,0.7989,0.3689,0.6807
27017070600,0.6119,3210.0,0.0,0.0,0.0,0.5725,0.7188,0.0761,0.7121
27017070100,0.7635,5411.0,0.0,0.0,0.0,0.8236,0.8377,0.2422,0.6486
27017070300,0.0541,5586.0,0.0,0.0,0.0,0.0902,0.2131,0.0434,0.1015
27017940000,0.9138,3097.0,0.0,0.0,0.0,0.8737,0.8277,0.9139,0.8838
27021960301,0.4415,1014.0,0.0,0.0,0.0,0.6927,0.1663,0.3235,0.4108
27059130302,0.6526,2680.0,0.0,0.0,0.0,0.7355,0.507,0.2168,0.6787
27059130501,0.3627,5521.0,0.0,0.0,0.0,0.7268,0.0868,0.062,0.344
27081201002,0.5631,2585.0,0.0,0.0,0.0,0.666,0.5244,0.1828,0.5237
27081201001,0.5524,3045.0,0.0,0.0,0.0,0.5411,0.7462,0.062,0.5625
27103480502,0.6393,3512.0,0.0,0.0,0.0,0.3434,0.8557,0.4683,0.7675
27111960102,0.163,2726.0,0.0,0.0,0.0,0.2131,0.0775,0.2055,0.3053
27141030504,0.0274,5447.0,0.0,0.0,0.0,0.0354,0.0802,0.1354,0.1169
27145000402,0.1176,5723.0,0.0,0.0,0.0,0.2612,0.0615,0.2382,0.1743
27015960102,0.7415,1276.0,0.0,0.0,0.0,0.7134,0.8918,0.4089,0.5464
27159480100,0.7482,3250.0,0.0,0.0,0.0,0.682,0.6807,0.1801,0.9152
27159480300,0.9593,5321.0,0.0,0.0,0.0,0.9152,0.9419,0.2422,0.9886
27159480200,0.7589,5537.0,0.0,0.0,0.0,0.6987,0.7415,0.3209,0.857
27107960300,0.7735,2255.0,0.0,0.0,0.0,0.7388,0.7074,0.3989,0.8397
27107960200,0.7889,1668.0,0.0,0.0,0.0,0.8176,0.5925,0.5284,0.8183
27107960100,0.6433,2534.0,0.0,0.0,0.0,0.5965,0.7642,0.2842,0.654
27007450500,0.6259,1814.0,0.0,0.0,0.0,0.7315,0.33,0.4503,0.6226
27007450300,0.5084,4570.0,0.0,0.0,0.0,0.5104,0.5164,0.433,0.5043
27037060841,0.159,3354.0,0.0,0.0,0.0,0.3273,0.318,0.493,0.0294
27037060836,0.4496,5270.0,0.0,0.0,0.0,0.2639,0.5137,0.8185,0.509
27037060835,0.0822,5682.0,0.0,0.0,0.0,0.1022,0.3801,0.3809,0.0481
27037060837,0.3373,5290.0,0.0,0.0,0.0,0.2278,0.322,0.6478,0.4402
27037060830,0.2004,3149.0,0.0,0.0,0.0,0.1637,0.6132,0.7211,0.0641
27037061110,0.2879,3365.0,0.0,0.0,0.0,0.2084,0.5317,0.2949,0.3313
27147960400,0.9305,4482.0,1.0,0.22311468094600623,0.20140062250185878,0.8557,0.7782,0.7825,0.9833
27147960500,0.1276,2737.0,0.0,0.0,0.0,0.2572,0.1209,0.1588,0.1597
27147960700,0.4015,5741.0,0.0,0.0,0.0,0.4382,0.6433,0.2295,0.3267
27147960300,0.6313,5792.0,0.0,0.0,0.0,0.4409,0.8898,0.5437,0.5411
27147960800,0.7575,3654.0,0.0,0.0,0.0,0.6787,0.8604,0.4616,0.7355
27147960600,0.853,3969.0,1.0,0.2519526329050139,0.22470443881925525,0.8925,0.6239,0.443,0.8651
27147960100,0.6954,5046.0,0.0,0.0,0.0,0.6934,0.7128,0.6611,0.5251
27147960200,0.1409,5975.0,0.0,0.0,0.0,0.1296,0.35,0.0761,0.2051
27171100500,0.3474,4830.0,0.0,0.0,0.0,0.2178,0.7949,0.034,0.4048
27171100300,0.1904,5663.0,0.0,0.0,0.0,0.1964,0.3133,0.0981,0.2552
27163071209,0.0942,5906.0,0.0,0.0,0.0,0.0367,0.495,0.6184,0.0615
27163071102,0.0361,4759.0,0.0,0.0,0.0,0.0655,0.0621,0.2055,0.1129
27163070403,0.2024,3803.0,0.0,0.0,0.0,0.0995,0.3727,0.1301,0.4135
27027020500,0.2659,4951.0,0.0,0.0,0.0,0.2759,0.1944,0.1207,0.4542
27043460600,0.5337,2596.0,0.0,0.0,0.0,0.5117,0.7321,0.3936,0.4269
27043460200,0.7361,2092.0,0.0,0.0,0.0,0.7408,0.6286,0.535,0.7134
27043460300,0.3507,1798.0,0.0,0.0,0.0,0.4128,0.4923,0.2055,0.3333
27043460100,0.2979,1852.0,0.0,0.0,0.0,0.5391,0.3287,0.046,0.2131
27043460500,0.5992,2382.0,0.0,0.0,0.0,0.7695,0.8063,0.2455,0.2639
27043460400,0.672,3211.0,0.0,0.0,0.0,0.7662,0.6867,0.493,0.4516
27027020600,0.682,3855.0,0.0,0.0,0.0,0.7495,0.4489,0.4877,0.684
27113090100,0.3727,2297.0,0.0,0.0,0.0,0.4035,0.4616,0.2842,0.4075
27113090200,0.664,2366.0,0.0,0.0,0.0,0.4509,0.5825,0.6117,0.8704
27113090500,0.6907,3969.0,0.0,0.0,0.0,0.4729,0.7822,0.3489,0.8711
27113090300,0.1222,2182.0,0.0,0.0,0.0,0.1677,0.143,0.1828,0.2077
27113090400,0.5538,3181.0,0.0,0.0,0.0,0.4095,0.5544,0.2949,0.7923
27163070103,0.7909,5598.0,0.0,0.0,0.0,0.7462,0.7816,0.6911,0.7188
27163070104,0.6713,3235.0,0.0,0.0,0.0,0.7943,0.7502,0.5617,0.3367
27163070204,0.0441,6285.0,0.0,0.0,0.0,0.0448,0.1396,0.3142,0.1162
27163070205,0.2011,3965.0,0.0,0.0,0.0,0.0822,0.3293,0.028,0.4977
27163070301,0.006,1788.0,0.0,0.0,0.0,0.01,0.1142,0.1828,0.0281
27163070303,0.2926,4978.0,0.0,0.0,0.0,0.177,0.6486,0.3863,0.2832
27163070304,0.4155,4871.0,0.0,0.0,0.0,0.4322,0.6413,0.0981,0.4282
27027030106,0.4556,2126.0,0.0,0.0,0.0,0.2692,0.6319,0.459,0.5979
27163071014,0.0641,4424.0,0.0,0.0,0.0,0.0314,0.2973,0.5977,0.0601
27163070801,-999.0,1211.0,0.0,0.0,0.0,-999.0,-999.0,0.9646,-999.0
27163070105,0.0281,4414.0,0.0,0.0,0.0,0.2345,0.0421,0.1748,0.0174
27163070206,0.0094,3388.0,0.0,0.0,0.0,0.006,0.0848,0.1147,0.0661
27163070405,0.1122,5161.0,0.0,0.0,0.0,0.0174,0.3153,0.2842,0.2872
27163070406,0.3781,6700.0,0.0,0.0,0.0,0.352,0.3794,0.5684,0.4001
27163070703,0.5818,3270.0,0.0,0.0,0.0,0.4355,0.819,0.439,0.5618
27163070704,0.4222,2691.0,0.0,0.0,0.0,0.5344,0.4302,0.1448,0.4315
27163070802,-999.0,413.0,0.0,0.0,0.0,-999.0,-999.0,0.9653,-999.0
27163070906,0.5711,4831.0,0.0,0.0,0.0,0.5671,0.835,0.7939,0.2358
27163070907,0.9005,6212.0,0.0,0.0,0.0,0.8764,0.5665,0.8472,0.9619
27163070501,0.2218,3063.0,0.0,0.0,0.0,0.1523,0.2184,0.2268,0.4262
27163070502,0.3267,4726.0,0.0,0.0,0.0,0.2866,0.1376,0.3836,0.6146
27163070602,0.1169,2890.0,0.0,0.0,0.0,0.0688,0.7649,0.4216,0.0354
27163070909,0.3033,5187.0,0.0,0.0,0.0,0.5043,0.2999,0.8065,0.0962
27067770900,0.7088,2352.0,0.0,0.0,0.0,0.4676,0.8484,0.6051,0.7829
27067781100,0.4629,2906.0,0.0,0.0,0.0,0.4402,0.5037,0.2115,0.5885
27067780200,0.1349,2253.0,0.0,0.0,0.0,0.1597,0.2418,0.0133,0.2285
27067780700,0.8544,4584.0,0.0,0.0,0.0,0.7949,0.9512,0.8432,0.5698
27067780100,0.189,2631.0,0.0,0.0,0.0,0.2725,0.3674,0.0187,0.179
27067780600,0.2946,4718.0,0.0,0.0,0.0,0.1984,0.5598,0.3616,0.3253
27067780500,0.996,5849.0,0.0,0.0,0.0,0.9579,0.9947,0.928,0.9967
27067781200,0.4362,2896.0,0.0,0.0,0.0,0.4836,0.523,0.1995,0.4409
27067781000,0.8938,5069.0,0.0,0.0,0.0,0.7649,0.9519,0.7345,0.8457
27067780400,0.4716,3608.0,0.0,0.0,0.0,0.4055,0.5217,0.2168,0.6333
27067780300,0.2725,4171.0,0.0,0.0,0.0,0.147,0.684,0.0927,0.3647
27067780800,0.9739,2649.0,0.0,0.0,0.0,0.9933,0.9025,0.926,0.8477
27037060101,0.5611,3600.0,0.0,0.0,0.0,0.5691,0.4997,0.8419,0.4235
27119020400,0.2966,2290.0,0.0,0.0,0.0,0.322,0.3828,0.3689,0.2719
27079950102,0.1289,4135.0,0.0,0.0,0.0,0.3367,0.1116,0.0434,0.1309
27079950101,0.1069,3600.0,0.0,0.0,0.0,0.1463,0.5645,0.046,0.0655
27013170900,0.3293,3067.0,0.0,0.0,0.0,0.3233,0.4482,0.0801,0.4462
27013170100,0.3006,5519.0,0.0,0.0,0.0,0.2305,0.5478,0.3382,0.326
27013171300,0.1156,3860.0,0.0,0.0,0.0,0.1436,0.3808,0.1955,0.1109
27013171500,0.1951,2549.0,0.0,0.0,0.0,0.2518,0.3768,0.058,0.1897
27013171000,0.4055,3285.0,0.0,0.0,0.0,0.358,0.7094,0.1021,0.4248
27013170300,0.7401,3408.0,0.0,0.0,0.0,0.6981,0.5698,0.5437,0.823
27013170200,0.5404,8243.0,0.0,0.0,0.0,0.4102,0.334,0.2949,0.8631
27013170600,0.9011,2214.0,0.0,0.0,0.0,0.9593,0.5023,0.7385,0.9085
27013171400,0.4763,3491.0,0.0,0.0,0.0,0.4997,0.3661,0.3489,0.5551
27013170800,0.3674,4693.0,0.0,0.0,0.0,0.477,0.2565,0.3235,0.4182
27037060103,0.2084,2935.0,0.0,0.0,0.0,0.1109,0.4362,0.4323,0.2692
27037060105,0.9492,5656.0,0.0,0.0,0.0,0.9365,0.8083,0.8933,0.9352
27053111100,0.1937,3780.0,0.0,0.0,0.0,0.3019,0.0387,0.4503,0.3079
27053111200,0.1717,3667.0,0.0,0.0,0.0,0.1222,0.2699,0.5684,0.1991
27053111300,0.0581,5159.0,0.0,0.0,0.0,0.0768,0.2625,0.2895,0.0541
27053111400,0.0681,4268.0,0.0,0.0,0.0,0.0534,0.0982,0.455,0.1496
27053111500,0.3186,5749.0,0.0,0.0,0.0,0.1229,0.5404,0.511,0.4836
27053111600,0.1142,3454.0,0.0,0.0,0.0,0.1343,0.1015,0.5977,0.1683
27053122500,0.5424,3521.0,0.0,0.0,0.0,0.2999,0.9412,0.6638,0.35
27053122600,0.1209,2367.0,0.0,0.0,0.0,0.1496,0.0374,0.3989,0.3073
27053125500,0.9385,3913.0,0.0,0.0,0.0,0.9178,0.9679,0.9233,0.7141
27053022902,0.004,1928.0,0.0,0.0,0.0,0.0013,0.024,0.2762,0.0514
27035950502,0.34,2726.0,0.0,0.0,0.0,0.66,0.1864,0.1901,0.2338
27035951301,0.6092,5072.0,0.0,0.0,0.0,0.4476,0.8043,0.058,0.7983
27035951700,0.316,3219.0,0.0,0.0,0.0,0.5003,0.1924,0.1021,0.3721
27171100707,0.4957,3669.0,0.0,0.0,0.0,0.6279,0.3935,0.4503,0.3955
27171100706,0.5351,5746.0,0.0,0.0,0.0,0.4462,0.7181,0.062,0.6687
27171101101,0.5164,7619.0,0.0,0.0,0.0,0.5337,0.2138,0.4496,0.7101
27171100402,0.6974,3495.0,0.0,0.0,0.0,0.5812,0.8704,0.2635,0.7148
27171100401,0.0354,1919.0,0.0,0.0,0.0,0.1797,0.0187,0.006,0.1229
27171100704,0.6319,4748.0,0.0,0.0,0.0,0.5304,0.7361,0.4043,0.6754
27171100804,0.1383,7113.0,0.0,0.0,0.0,0.0134,0.4422,0.4503,0.2712
27171100806,0.0073,4069.0,0.0,0.0,0.0,0.0107,0.0581,0.3102,0.0448
27171100102,0.0401,10614.0,0.0,0.0,0.0,0.0247,0.0715,0.457,0.1269
27171100803,0.0174,7175.0,0.0,0.0,0.0,0.0107,0.0695,0.4136,0.0775
27171100805,0.1396,7270.0,0.0,0.0,0.0,0.3059,0.2806,0.0734,0.0848
27171100206,0.2739,6256.0,0.0,0.0,0.0,0.2298,0.4796,0.2675,0.3046
27171100205,0.8758,4080.0,0.0,0.0,0.0,0.6212,0.8878,0.7292,0.9593
27171100101,0.2719,7977.0,0.0,0.0,0.0,0.2939,0.1717,0.4897,0.3447
27171101002,0.2699,4518.0,0.0,0.0,0.0,0.2565,0.2077,0.0527,0.503
27023950602,0.833,2904.0,0.0,0.0,0.0,0.6921,0.7689,0.3642,0.9679
27023950601,0.847,3019.0,0.0,0.0,0.0,0.8724,0.8477,0.6691,0.6179
27053027203,0.6099,3571.0,0.0,0.0,0.0,0.4937,0.6493,0.4163,0.7234
27053027601,0.3667,4167.0,0.0,0.0,0.0,0.2398,0.3567,0.465,0.5665
27053027602,0.1824,5105.0,0.0,0.0,0.0,0.3734,0.0281,0.3756,0.2652
27053100200,0.6807,4328.0,0.0,0.0,0.0,0.5999,0.7335,0.9346,0.4923
27053100400,0.9145,3529.0,0.0,0.0,0.0,0.9679,0.9613,0.9773,0.4329
27053100500,0.8724,1954.0,0.0,0.0,0.0,0.8263,0.9005,0.7952,0.6994
27053100900,0.8684,5583.0,0.0,0.0,0.0,0.9646,0.6012,0.9833,0.5384
27053102100,0.986,2588.0,0.0,0.0,0.0,0.9967,0.986,0.9913,0.7368
27053102600,0.7134,2170.0,0.0,0.0,0.0,0.841,0.5458,0.8366,0.4168
27053102800,0.984,2807.0,0.0,0.0,0.0,0.9613,0.9846,0.9586,0.8657
27053103000,0.6186,1799.0,0.0,0.0,0.0,0.5598,0.326,0.6071,0.8023
27053103100,0.6473,2264.0,0.0,0.0,0.0,0.8337,0.3053,0.8286,0.3961
27053103400,0.9352,3210.0,0.0,0.0,0.0,0.9619,0.9686,0.998,0.5204
27053103600,0.3353,2947.0,0.0,0.0,0.0,0.4021,0.169,0.4743,0.4255
27053103700,0.5858,4192.0,0.0,0.0,0.0,0.6967,0.0267,0.7505,0.8564
27053104100,0.9659,3890.0,0.0,0.0,0.0,0.9806,0.8216,0.9726,0.9031
27053104400,0.8477,2752.0,0.0,0.0,0.0,0.9045,0.1349,0.9066,0.9472
27057070600,0.9853,3868.0,0.0,0.0,0.0,0.9512,0.9719,0.445,0.99
27057070100,0.4355,5135.0,0.0,0.0,0.0,0.5845,0.2599,0.3896,0.4202
27057070300,0.4703,1982.0,0.0,0.0,0.0,0.678,0.4937,0.1995,0.2973
